SortByDescription	ThenByDescription	InvestmentDescription	TaxLotDescription	TaxLotID	TaxLotDate	Quantity	OriginalFace	UnitCost	MarketPrice	CostBook	MarketValueBook	UnrealizedPriceGainLossBook	UnrealizedFXGainLossBook	AccruedAmortBook	AccruedInterestBook	ExtendedDescription	Description3
Chinese Renminbi Yuan	Cash and Equivalents	Chinese Renminbi Yuan (CNY)	Chinese Renminbi Yuan-BOCHK OnHand			6.91	0	1.1259	1.1412	7.78	7.89	0	0.11	0	0		
Chinese Renminbi Yuan	Fixed Deposit	ABCHK Fixed Deposit 3 13/10/2020	ABCHK Fixed Deposit 3 13/10/2020	1135995	9/29/2020	"4,500,000.00"	0	100	NA	"5,116,637.32"	"5,135,473.42"	0	"18,836.10"	0	855.91		
Chinese Renminbi Yuan	Fixed Deposit	IB Fixed Deposit 2.7 14/10/2020	IB Fixed Deposit 2.7 14/10/2020	1136644	9/30/2020	"14,887,726.01"	0	100	NA	"16,990,115.83"	"16,990,115.83"	0	0	0	"1,274.26"		
Hong Kong Dollar	Cash and Equivalents	Hong Kong Dollar (HKD)	Hong Kong Dollar-ABCHK OnHand			4.11	0	1	1	4.11	4.11	0	0	0	0		
Hong Kong Dollar	Cash and Equivalents	Hong Kong Dollar (HKD)	Hong Kong Dollar-BOCHK OnHand			"174,361.63"	0	1	1	"174,361.63"	"174,361.63"	0	0	0	0		
Hong Kong Dollar	Cash and Equivalents	Hong Kong Dollar (HKD)	Hong Kong Dollar-BOCHK Receivable			"25,638.37"	0	1	1	"25,638.37"	"25,638.37"	0	0	0	0		
Hong Kong Dollar	Cash and Equivalents	Hong Kong Dollar (HKD)	Hong Kong Dollar-CMBC OnHand			100	0	1	1	100	100	0	0	0	0		
Hong Kong Dollar	Fixed Deposit	IB Fixed Deposit 0.51 06/10/2020	IB Fixed Deposit 0.51 06/10/2020	1135570	9/22/2020	"15,197,286.41"	0	100	NA	"15,197,286.41"	"15,197,286.41"	0	0	0	"1,911.11"		
Hong Kong Dollar	Fixed Deposit	MSB Fixed Deposit 0.6875 12/10/2020	MSB Fixed Deposit 0.6875 12/10/2020	1136001	9/28/2020	"15,010,142.12"	0	100	NA	"15,010,142.12"	"15,010,142.12"	0	0	0	848.18		
Hong Kong Dollar	Open-End Fund	CHINA LIFE FR-DIVER INC FD (CLFLDIF HK)	CHINA LIFE FR-DIVER INC FD	1033296	1/10/2017	"4,535,425.00"	0	11.1413	12.8768	"50,530,530.13"	"58,401,760.64"	"7,871,230.51"	0	0	0		
United States Dollar	Cash and Equivalents	United States Dollar (USD)	United States Dollar-BOCHK OnHand			"1,150,012.39"	0	7.7508	7.75	"8,913,530.45"	"8,912,596.02"	0	-934.43	0	0		
United States Dollar	Cash and Equivalents	United States Dollar (USD)	United States Dollar-CIB OnHand			192.48	0	7.8497	7.75	"1,510.91"	"1,491.72"	0	-19.19	0	0		
United States Dollar	Corporate Bond	BOCAVI 2.625 09/17/30 REGS (US09681MAS70 HTM)	BOCAVI 2.625 09/17/30 REGS	1134572	9/9/2020	"2,000,000.00"	0	99.385	NA	"15,406,066.39"	"15,404,998.72"	0	"-1,391.34"	323.67	"15,822.92"	BOC AVIATION LTD BOCAVI 2 5/8 09/17/30	
